15.36,29.10,Thank you.,blank,WER_sentence,CER_sentence
30.36,36.78,Thank you.,blank,2.0,1.4
46.5,59.01,"Yes, I have got an idea about the topic and what has to be spoken. Definitely, I believe individuals at...","uh Yes, I have got uh idea about uh the topic and what has to be spoken uh definitely i believe ahh individuals at Ahh",0.36,0.1694915254237288
59.82,74.37,the same age have generally similar plans any individuals first priority is definitely the individual's family so is mine and achieving financial stability as a,Of the same age have uh generally similar plans uh and me uh individual's first priority is definitely individual family so is mine and ahh achieving financial stability as a.,0.36666666666666664,0.16
75.18,89.67,to make the education to make the degrees fruitful is one thing and having a kind of lifestyle for which I have been working since working,The uh To make the education? to make the decrease fruitful is one thing and having a kind of Lifestyle uh umm for which I have been uh working since uh working.,0.28125,0.15527950310559005
89.7,103.68,today so I think it is one such goal to be financially stable and to give a lifestyle of ease to my family moreover I also have some plans to go for making,Till Today so I think it is once such goal to be financially uh stable and to uh give a lifestyle of each to my family more over i also have some plan to uh go for uh makings,0.28205128205128205,0.13218390804597702
104.19,119.01,"for opening some NGO, I think, because I have, I believe I have that corner to give back to society because I have went through a lot many such situations where I have been helped by a lot many people.",First opening some NGO I think uh because I have ahh I believe I have that corner to give back to society because I have ahh went through a lot Many ahh such situations where I have been help them and lot many people.,0.25,0.11981566820276497
119.4,132.93,"So that is one more goal. Moreover, I also have interest in traveling. So I also firstly traveling my own country is one priority and I have a lot of my options in my list.","So that is one more goal more over. I also there have interest travelling so I also, uh firstly uh travelling ca my own country is one uh priority and I have lot of my options in my to do list, I think.",0.4186046511627907,0.22277227722772278
133.02,147.66,"These are some of my future plans. Moreover, I believe future plans of any individual are time-based. Some of them are long-term goals and some of them are short-term goals. So, I would like to know what are your opinions on this.",These are some of my future plans more over. I visit future plan of any Mutual are uh time- based Some of them are long term goals and some of them are short- term goals. So I I would like to know what are your opinions on this?,0.3333333333333333,0.11842105263157894
183.42,195.3,Thank you.,blank,2.0,1.4
209.7,223.98,Yes. Yes.,ahh yes a yes.,0.75,0.42857142857142855
224.49,237.06,"Definitely, as today we know that most of the age mates, I would say, I think they are struggling with getting some",Definitely ahh as one as today we know that uh most of the umm most of the age mates I would say I think they are struggling with uh getting some,0.3870967741935484,0.2413793103448276
237.15,248.91,source of earning as soon as possible kind of financial stability and i think it is one of the short short-term uh plans every individual is having moreover uh similarly uh like um,Uh Source of earning as soon as possible kind of financial stability and I think it is one of the short uh short term plans every individual is having more over uh similarly uh like a.,0.19444444444444445,0.07065217391304347
