15.36,29.10,Unnamed: 2,blank,WER_sentence,CER_sentence
30.36,36.78,,blank,1.0,1.0
46.5,59.01,ON YIS I HAVE GOT A IDEAN AOGI WITH THE GOPIC HAND THE WORT HAS TO BE SPOKEN AND DEFINITELY I BELIEVE ON INDOVIJUELS AT THE EARL,"uh Yes, I have got uh idea about uh the topic and what has to be spoken uh definitely i believe ahh individuals at Ahh",0.6,0.3135593220338983
59.82,74.37,OF THE SAME AGE HAVES A GENTLY SIMILAR PLANS A INMY A INDIVIDUALS E FOSTPREORITY IS DEFINITELY A INVIDUOLUS FAMILIES AW HIS MINE AND THE ACHAPING FANICIAL STIBIDITY AS A,Of the same age have uh generally similar plans uh and me uh individual's first priority is definitely individual family so is mine and ahh achieving financial stability as a.,0.6666666666666666,0.26285714285714284
75.18,89.67,OR TO MAKE THE EDUCATION TO MAKE THE DEGREES FRUITFUL IS ANE THING AND THE HAVING E KIND OF LIFESTIDE EM FOR WHICH I HAVE BEEN ER WORKING SINCE ER WORKING,The uh To make the education? to make the decrease fruitful is one thing and having a kind of Lifestyle uh umm for which I have been uh working since uh working.,0.40625,0.17391304347826086
89.7,103.68,ILL TO DAY SO I THINK IT IS ONE SUCH GOLD TO BE FININCIALLY EAR STABLE AND TO ER GIVE A LIFESTEAD OF GESE TO MY FAMILY MORE OF IT I OUGHSO HAVE SOME PLAN TO E GO FAR ILL MAKINGS,Till Today so I think it is once such goal to be financially uh stable and to uh give a lifestyle of each to my family more over i also have some plan to uh go for uh makings,0.41025641025641024,0.1839080459770115
104.19,119.01,FORCE O OPENING SOME EN TOO I THINK ER BECAUSE I HAVE EARED I BELIEVE I HAVE THAT CORNER TO GIVE BACK TO SOCIETY BECAUSE I HAVE EARED WHEN THROUGH A LOTMANY AR SUCH SITUATIONS WHERE I HAVE BEEN HELD BY MANY PLOTMING PEOPLE,First opening some NGO I think uh because I have ahh I believe I have that corner to give back to society because I have ahh went through a lot Many ahh such situations where I have been help them and lot many people.,0.38636363636363635,0.16129032258064516
119.4,132.93,SO THAT IS ONE MO GOR MOTIVER I ALSO TELL HAVE IT DRESSED IN TRAVELLING SO I ALSO EARTH FISTLY A TRAVELLING THE COM MY OWN COUNTRY IS ONE A PUORITY AND I HAVE LOT OF MY OPTIONS IN MAUULIST I THINK,"So that is one more goal more over. I also there have interest travelling so I also, uh firstly uh travelling ca my own country is one uh priority and I have lot of my options in my to do list, I think.",0.4883720930232558,0.24257425742574257
133.02,147.66,HES ARE SOME OF MY FUTURE PLANS OR WOULD I BELIE FUTURE PLAN OF AN INVITUAL AR E FINE PASED SOME OF TEM AD LONGTOM COLDS AND SOME OF THEM ARE SHORT TEMPOLS SO I I WOULD LIKE TO KNOW WHAT ARE YOUR OPINIONS ON THIS,These are some of my future plans more over. I visit future plan of any Mutual are uh time- based Some of them are long term goals and some of them are short- term goals. So I I would like to know what are your opinions on this?,0.3958333333333333,0.17982456140350878
183.42,195.3,,blank,1.0,1.0
209.7,223.98,UH YES ES,ahh yes a yes.,0.75,0.42857142857142855
224.49,237.06,EFINITELY ERE AS ONE AS TO DAY WE KNOW THAT ER MOST OF THE EM MOST OF THE AGE MADES I WOULD SAY I THINK THEY ARE STRUGGLING WITH THE GETTING SOME,Definitely ahh as one as today we know that uh most of the umm most of the age mates I would say I think they are struggling with uh getting some,0.25806451612903225,0.08275862068965517
237.15,248.91,A SOURCE OF EARNING AS SOON AS POSSIBLE KIND OF FUNISHESTABILITY AND I THINK IT IS ONE OF THE SHORT HE SHORTTUM R PLANS EVERY INDIVIDUAL IS HEAVING BUR VERY ER SIMULARLY ERLIKE ERM,Uh Source of earning as soon as possible kind of financial stability and I think it is one of the short uh short term plans every individual is having more over uh similarly uh like a.,0.3888888888888889,0.16847826086956522
249.99,257.19,RIGHT NOW I OUGHT TO HAVE SOME SHORT COMPLANTS FOR MYSELF ON WHICH IM YES,"Right now uh i also have some short term plans for myself, uh on which I am yes.",0.5555555555555556,0.2625
268.68,280.89,YES YES DEFINITELY AND FETE I OGTA E DEAD HEM TO COMPLETE FUTURE PLANS E,"Yes, yes definitely and I also believe uh the uh to complete future plans. Ahh",0.6,0.32051282051282054
281.01,294.63,I THINK TINKING WHAT WHICH UPLAN IS ONE SUCH THING AND THE EART WANETHING VOT THE EARTH THE AFFORT THAT IS REQUIRED TO A COMPLETED IS ANOTHER THING AND LITING IT DEPENDS ON AND IT BECOMES STRONGER THAN THE EARTH,I think thinking about future plan is one such thing and ahh one thing but uh the effort that is required to complete it is another thing and I think it depends on and and it becomes stronger when the,0.45,0.27
294.96,309.93,QUITE ATLAS OWORD THAT WHEN THE WIOFF WASONG IS QUITE STRONGER THAT THE WOTHER PORSON WANTS TO ER TEIT SO I THINK E THAT ONE SHOULD NE KEEP ON REMINDING THEMSELVES ABOUT A THE WI THAT BY THE ONE WO  THOSE PLANS AND,Quite a cliche word that when the wire of person is quite stronger that why the person wants to achieve it. So uh I think ahh one should keep on reminding themselves about uh the why that why they want to achieve those plans and.,0.5111111111111111,0.2576419213973799
309.96,320.46,MORE OVER I THINK TES MODER IDIOTY MENCS THE ERM WILL HELP OT EV EVERY PROVANTOL ERM IM MOVEN YET,Moreover I think a smaller daily achievements uh will help ev-everyone to a move. Yes,1.0666666666666667,0.5176470588235295
325.41,331.59,YES YES THANKS FOR COMPLETEIN YES AND,"Yes, yes thanks for completing yes and.",0.42857142857142855,0.10256410256410256
348.78,363.66,W SEIM HERE I SEEM HERE AS WELLIN A BUT AS FOR TH INSTRUCTIONS IT WAS E MENTIONIN DEER WE HAVE TO SPEAKIN LANGUAGE THAT WE HAVE CHOSEN SO AM WIN BE THAT ONLY I HAVE A TEXTURATE SOME ONE IAM WAITING FOR AOTHER,"Yes, same here same here as well. Ahh But as per the instructions it was ahh mentioned their we have to speak in language that we have chosen. So i am going by that only i have texted someone i am waiting for uh their?",0.5333333333333333,0.22477064220183487
363.72,373.35,I YES YES YES YES,"Yes, yes yes yes.",0.75,0.23529411764705882
378.87,393.57,YES I DOUBT IF THIS A DISGOUND OF CONVERSATION WILL PREGOUTLEL I THINK IT HAS TROPESTUCK TO THER AN ADOP MOREOVER IT IS QUITE A OQUE AS WE ARE DISCUSSING OVER THAT ONLY I WAN'T TO MENTION ONE THING THAT IT IS QUITE DIFFICULT TO GET THE C,"Yes, I doubt if this uh this kind of conversation will be taughted. I think it has to be stick to the ahh topic moreover, It is quite uh okay as we are discussing over that only I want to mention one think that it is quite difficult to get the con",0.34615384615384615,0.16194331983805668
393.57,407.97,ALL I THINK IT IS DIFFICULT TO CONNECT TO ANY ONE SO I THINK WE HAVE TO COMPLETE ONE AVL ER TO GET SOME PAYMENT IT SA TRINGTO EIGHTNITON FO FIVE SECONDS O OT I DOUBT IF IT IS HAPPENING WITH ME ONLY,"Call I think it is difficult to connect to anyone so I think we have to complete one hour uh to get some payment eight twenty- eight five seconds, or I doubt if it is happening with me only.",0.358974358974359,0.15789473684210525
419.55,432.12,I'M SAFE BUT AS IAM I HAVE CONNECTED TO DEONLY TO THIS PLATFORM AND IAM ALSON YOU USIT BUT EN YE HAVE BEEN TOLD VENIE TO COMPLETE ONE NOVEL,I am single as I am I have connected today only to this platform and I am also a new user but umm we have been told we need to complete one hour.,0.5454545454545454,0.23448275862068965
445.2,459.21,SEVENTWENTY MINIGHT YES I AGREE BIT I AM SAYING A A MORE NUMBER OF PROTTERATION OF CAURS WE HAVE TWO GO FOR MORE NUMBER OF ER CALLS TO ACCEPT IT AND I THINK A,"Seven to twenty minutes Yes, I agree. But I am saying ahh more number of sorter duration of calls we have to go for more number of calls to accepted and I think. Ahh",0.5294117647058824,0.19393939393939394
459.66,471.84,IAM FINDING IT DIFFICULT TO CONNECT TO OTHER PEOPILE I DON'T KNOW I THINK SOME ISUE THER SAW ME SHOWN APPLICATION BECAUSE I THIN A MORE EARLIER LOT MANY USERS THAT I USING IT AT THE SAME TIME SO,"I am finding it difficult to connect to other people. I don't know. I think some issue, there is some issue on application because I think ahh they're lot many users that are using it at the same time so.",0.4,0.16176470588235295
487.2,501.48,ESIOUS,"Yes, yes.",1.0,0.6666666666666666
502.8,517.2,YES I O I ALRETE AT YOU THIS ONLY THAT I HAVE ALSO THE SAME ICIU BUT ELL I THINK BETTERLY STRU AND STICK TO THE TASK BECAUSE EH EVEN IF IT ISN'T ENGLISH BECAUSE THE RULE IS,"Yes, uh I already said you this only that I have also the same issue but uh I think better is to stick to the task because uh even if it is in English because the rule is.",0.3684210526315789,0.17543859649122806
517.23,524.37,SPEAK IN ENGLISH WON DESIMS TO CONCLUTE IS ERR INJUCTIONS ONLY THAT WE HAVE FO SPEAK IN THE LINE WHOR THAT HAS BEEN ORN SELATED BY US ONE DEPLICATION,To Speak in English Only so i am sticking to uh the Instructions only. That we have to speak in the language that has been uh selected by us on the application.,0.59375,0.30625
534.36,541.32,OKE O KIIT WAS DER TALKING HE ASTONISHED WORK OK BOK,"Okay, okay okay it was great talking yes have a nice day. Okay.",0.8461538461538461,0.5238095238095238
